107,2139,Lactibiane Tolerance,3,0,0,na,0,1,2410,2775,0,0,,fasle,1,a,Admin,,,,1,1,53,1
108,2143,Telfast Tablet 2x,24,0,0,na,0,1,11.44,13,0,0,,fasle,1,a,Admin,,,,1,1,39,1
109,2144,Tablet Sandocal D,24,0,0,na,0,1,7.92,9,0,0,,fasle,1,a,Admin,,,,1,1,74,1
110,2145,Azyth 200,23,0,0,na,0,1,154,175,0,0,,fasle,1,a,Admin,,,,1,1,74,1
111,2146,Azyth 500,24,0,0,na,0,1,48.84,55.5,0,0,,fasle,1,a,Admin,,,,1,1,74,1
112,21478663,GM-60 Face Wash,4,0,0,na,0,1,700,795,0,0,,fasle,1,a,Admin,,,,1,1,47,1
113,2150,Ginko B 120,3,0,0,na,0,1,19.4,22.83,0,0,,fasle,1,a,Admin,,,,1,1,5,1
114,2151,Avene Fluid 50+ Emulution,7,0,0,na,0,1,1566,1800,0,0,,fasle,1,a,Admin,,,,1,1,72,1
115,2153,Trixena Nutrition Lotion,10,0,0,na,0,1,1914,2200,0,0,,fasle,1,a,Admin,,,,1,1,72,1
116,2154,Avene SPF 30 Mat,17,0,0,na,0,1,1260,1450,0,0,,fasle,1,a,Admin,,,,1,1,72,1
117,2159,Vorifast Tablet 200 mg,24,0,0,na,0,1,96.8,110,0,0,,fasle,1,a,Admin,,,,1,1,28,1
118,2160,Slimfast cap 120mg,3,0,0,na,0,1,52.8,60,0,0,,fasle,1,a,Admin,,,,1,1,28,1
119,2161,Gluzigen Nebulizer Spray,20,0,0,na,0,1,1445,1650,0,0,,fasle,1,a,Admin,,,,1,1,60,1
120,2163,Cicatrix Cream,5,0,0,na,0,1,3230,3700,0,0,,fasle,1,a,Admin,,,,1,1,60,1
121,2164,Melanil Cream,5,0,0,na,0,1,1522,1750,0,0,,fasle,1,a,Admin,,,,1,1,60,1
122,2165,Gynepro,5,0,0,na,0,1,21.19,24.08,0,0,,fasle,1,a,Admin,,,,1,1,62,1
123,2166,Oxifil CR,3,0,0,na,0,1,6.19,7.04,0,0,,fasle,1,a,Admin,,,,1,1,62,1
124,2167,Calbo JR,24,0,0,na,0,1,2.65,3.01,0,0,,fasle,1,a,Admin,,,,1,1,62,1
125,2168,Comet 500,24,0,0,na,0,1,1.53,4.02,0,0,,fasle,1,a,Admin,,,,1,1,62,1
126,2169,Cef-3 ds 200,24,0,0,na,0,1,30.8,35,0,0,,fasle,1,a,Admin,,,,1,1,62,1
127,2170,Cef-3 ds 400,24,0,0,na,0,1,44.3,50.35,0,0,,fasle,1,a,Admin,,,,1,1,62,1
128,2171,Tryptin 10,24,0,0,na,0,1,0.75,0.85,0,0,,fasle,1,a,Admin,,,,1,1,62,1
129,2172,Flugal 50,24,0,0,na,0,1,7.1,8,0,0,,fasle,1,a,Admin,,,,1,1,62,1
130,2173,Flugal 150,24,0,0,na,0,1,19.48,22.14,0,0,,fasle,1,a,Admin,,,,1,1,62,1
131,2174,Vprocpm Tablet 200mg,24,0,0,na,0,1,102.9,120,0,0,,fasle,1,a,Admin,,,,1,1,23,1
132,2175,Voricon Syrup,23,0,0,na,0,1,877,1000,0,0,,fasle,1,a,Admin,,,,1,1,23,1
133,2176,Q 10 30mg Capsule,3,0,0,na,0,1,7,8,0,0,,fasle,1,a,Admin,,,,1,1,23,1
134,2177,Q 10 60mg Capsule,3,0,0,na,0,1,13.15,15,0,0,,fasle,1,a,Admin,,,,1,1,23,1
135,2178,Adaclin Gel,7,0,0,na,0,1,335,385,0,0,,fasle,1,a,Admin,,,,1,1,24,1
136,2182,Cutishine Face Wash,4,0,0,na,0,1,576,662,0,0,,fasle,1,a,Admin,,,,1,1,24,1
137,2183,Genove Retinol + Vit - C,1,0,0,na,0,1,1730,1990,0,0,,fasle,1,a,Admin,,,,1,1,24,1
138,2184,Genove Lightening Gel,17,0,0,na,0,1,1485,1725,0,0,,fasle,1,a,Admin,,,,1,1,24,1
139,2186,Kozilite Lotion,17,0,0,na,0,1,680,782,0,0,,fasle,1,a,Admin,,,,1,1,24,1
140,2187,Genove Oil Free Moisturizer,11,0,0,na,0,1,1175,1590,0,0,,fasle,1,a,Admin,,,,1,1,49,1
141,2189,Hydromax,11,0,0,na,0,1,500,575,0,0,,fasle,1,a,Admin,,,,1,1,24,1
142,2191,Conasyd Cream,5,0,0,na,0,1,55.45,63,0,0,,fasle,1,a,Admin,,,,1,1,56,1
143,2192,Deltasone Tablet,24,0,0,na,0,1,2.84,3.23,0,0,,fasle,1,a,Admin,,,,1,1,56,1
144,2193,Doxicap Cap,3,0,0,na,0,1,1.9,2.2,0,0,,fasle,1,a,Admin,,,,1,1,56,1
145,2194,Fenadin FC,24,0,0,na,0,1,8.8,10,0,0,,fasle,1,a,Admin,,,,1,1,56,1
146,2195,Primavera SG,24,0,0,na,0,1,0,12,0,0,,fasle,1,a,Admin,,,,1,1,56,1
147,2196,Fungitac Cream,5,0,0,na,0,1,176.02,200,0,0,,fasle,1,a,Admin,,,,1,1,25,1
148,2198,Dapgel,7,0,0,na,0,1,220.02,250,0,0,,fasle,1,a,Admin,,,,1,1,25,1
149,2199,Dricare ,20,0,0,na,0,1,194.19,220,0,0,,fasle,1,a,Admin,,,,1,1,25,1
150,2200,Iminod,5,0,0,na,0,1,242.02,275,0,0,,fasle,1,a,Admin,,,,1,1,25,1
151,2201,Azithromax 500,24,0,0,na,0,1,30.8,35,0,0,,fasle,1,a,Admin,,,,1,1,25,1
152,2202,Salitic,23,0,0,na,0,1,220,250,0,0,,fasle,1,a,Admin,,,,1,1,25,1
153,2203,Freshhlook,7,0,0,na,0,1,140.81,160,0,0,,fasle,1,a,Admin,,,,1,1,25,1
154,2205,Aprima 30 Tablet,24,0,0,na,0,1,52.8,60,0,0,,fasle,1,a,Admin,,,,1,1,33,1
155,2208,Fenofex 120 Tablet,24,0,0,na,0,1,7.04,8,0,0,,fasle,1,a,Admin,,,,1,1,33,1
156,2210,Kerasol 12% Cream,5,0,0,na,0,1,96.81,110,0,0,,fasle,1,a,Admin,,,,1,1,33,1
